original_station,replacement_station,distance_km,replacement_days_in_key_index,n_candidates_found,n_candidates_with_data,status
YL.LBA60,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid minlon (format exception):expected a value between -180 and 180 but received(-186.297806)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=-30.306999&maxlatitude=-10.306999000000001&minlongitude=-186.297806&maxlongitude=-166.297806&level=station
Request Submitted:
2026-09-23T21:02:16
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
7B.SD04,S1.AUOKV,197.1,95.0,218.0,120.0,OK
DW.BER,YY.SN33,210.4,339.0,370.0,292.0,OK
IM.CY301,3K.LOUI,169.5,731.0,2179.0,617.0,OK
4P.NYG58,4P.REG58,5.7,34.0,9708.0,2266.0,OK
YN.OBS27,YN.OBS26,8.3,19.0,20310.0,11029.0,OK
4P.MOO36,TA.O36A,26.0,667.0,13879.0,7904.0,OK
7D.KA09,7D.KA10,132.1,79.0,263.0,153.0,OK
XT.ST119,XT.ST120,7.4,15.0,6083.0,1111.0,OK
NQ.SANFE,TA.V23A,30.2,704.0,31208.0,15422.0,OK
8P.CAX09,CI.SBPX,18.6,414.0,38912.0,16075.0,OK
9G.SA155,9G.SA165,27.2,18.0,16999.0,9064.0,OK
PS.PSI,ZB.F70S,136.6,276.0,168.0,135.0,OK
ZU.LAB43,TA.243A,26.9,651.0,14888.0,6352.0,OK
ZU.TXD38,TA.438A,16.1,665.0,12713.0,6536.0,OK
ZU.TXF37,2T.EF65,20.3,566.0,16097.0,7459.0,OK
XB.KDVU,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid maxlon (format exception):expected a value between -180 and 180 but received(188.162888)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=-29.099176&maxlatitude=-9.099176&minlongitude=168.162888&maxlongitude=188.162888&level=station
Request Submitted:
2026-09-23T21:03:20
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
4P.NYJ61,4P.REJ61,8.5,19.0,10920.0,2257.0,OK
4P.SDJ31,TA.J31A,20.4,658.0,15155.0,7089.0,OK
OW.PHRD,CN.PHC,5.8,6056.0,18861.0,10381.0,OK
4P.MIK47,N4.L48A,39.1,1071.0,12681.0,4736.0,OK
ZU.ARV39,TA.V39A,11.3,641.0,13548.0,6725.0,OK
nan.SABA,NA.SABA,0.0,5804.0,5646.0,957.0,OK
PN.PPRMH,XG.BTO,19.2,127.0,27201.0,12654.0,OK
