key1,key2,distance_km,shared_days
PO.ACTO,PO.MEDO,138.99055160408193,1370
CI.CIA,US.KNB,647.6410040641958,1349
CD.ENH,CD.KMI,876.534956660073,1348
AB.PRLH,AB.HASN,151.96626170291393,1329
IU.LSZ,AF.KTWE,273.9827437686717,1327
QZ.ZHTS,II.AAK,555.3745245319961,1325
C8.PCAQ,C8.FORQ,460.8783985750238,1320
HV.ANDI,G.FUTU,814.338635763919,1319
8A.BAHE,8A.GAMM,572.9433938153942,1303
QZ.TDK,QZ.ZHTS,948.2405855598183,1299
S1.AUROX,S1.AUCAS,426.3311957809599,1286
N4.N41A,US.ECSD,581.2407289901092,1267
EI.IMAC,EI.DSB,239.5479279467183,1260
EI.IMAY,EI.IMAC,258.2374453976226,1260
XB.PM35,PM.PFVI,809.6203069031885,1253
N4.N41A,N4.K43A,305.2060760155491,1248
G.CCD,IU.CASY,1082.5702377096547,1240
AF.SNKL,ZT.WTBG,465.2184206840738,1230
N4.N41A,N4.X48A,772.2110305238672,1229
IC.HIA,XG.MJPU,1008.1201566200901,1220
II.NNA,AS.ZOBO,1053.4444157681537,1218
CM.PRV,OV.CCOL,579.7640853935945,1213
DK.SOEG,GG.SE1,733.5515270870771,1202
IU.SAML,IU.PTGA,980.7341575818461,1184
N4.257A,N4.X48A,623.8766243760954,1182
N4.237B,N4.N41A,1064.3821499285298,1177
N4.060A,N4.X48A,1042.3980683446105,1175
AF.SNKL,ZT.CRAIL,610.3708786915788,1175
KG.TJN,KS.SH2B,224.2272184573233,1174
AK.E24K,AK.C18K,523.9744007406681,1168
N4.Z38B,N4.X48A,744.858647911391,1164
N4.R32B,US.MVCO,869.5398619872237,1158
8A.GAMM,8A.KANO,186.56960355740543,1150
N4.P38B,N4.N41A,257.35208016093253,1145
N4.V51A,N4.X48A,287.4149489534351,1145
N4.N41A,N4.R40B,294.8135510559213,1142
N4.L34B,US.ECSD,197.44732190172243,1132
NL.HGN,CZ.TREC,701.2833000225778,1131
CZ.MORC,NL.HGN,831.5891650015667,1131
GE.ZKR,GE.APE,225.87856897087875,1128
8A.GAMM,8A.OTJO,506.50064967045614,1128
NL.HGN,CZ.PRIC,495.02500776068155,1126
BX.KOOLE,AF.SNKL,959.6641679165485,1123
AF.SNKL,ZT.DULL,402.0542651343359,1114
GO.GHRG,AB.HASN,639.1918870130576,1111
KZ.CHKZ6,KZ.AB06,884.789364437931,1100
N4.R50A,N4.N41A,621.4871717153744,1100
XB.PM35,XB.PM04,496.1913905311712,1095
N4.R50A,N4.P48A,161.94208026480865,1092
YT.DEVL,ZJ.DONT,847.9186053804442,1082
ZJ.DONT,ZJ.RKST,190.42906617544298,1078
