station,n_connections,connected_to
8Q.P15,11,8Q.P03;8Q.P09;8Q.P11;8Q.P12;8Q.P13;8Q.P17;8Q.P18;8Q.P19;8Q.P20;8Q.P21;8Q.P22
QZ.SEM,11,II.AAK;KZ.MAKZ;KZ.OTUK;QZ.BRZS;QZ.TDK;QZ.USHN;QZ.ZSN;X7.MC14;XV.NW140;XV.NW300;XV.SW060
XW.MAWI,11,II.RAYN;XW.ADEN;XW.DAMT;XW.GHDI;XW.MOKA;XW.MUKA;XW.SAUM;XW.SIMA;XW.TAMU;ZF.HYNE;ZF.LYDE
1P.PMOR,11,1P.CURI;1P.EIDA;1P.GUMN;1P.LVAN;1P.MAMA;1P.OHRS;C1.LL02;C1.LL05;C1.MG02;GT.PLCA;II.EFI
XL.MG06,11,NV.BACME;NY.TGTN;NY.WGLY;PQ.NAB2;PQ.NBC3;PQ.NBC8;RV.DEDWA;RV.SWHSA;TD.TD009;US.HAWA;Y5.PER
XF.MA40,11,IM.TX02;NR.NE79;NR.NE82;NR.NE83;TO.CARR;TO.MULU;XF.MA28;XF.MA36;ZL.I02;ZL.N06;ZL.S05
XJ.BNG,11,IU.MA2;XJ.APA;XJ.ESS;XJ.KGB;XJ.OSO;XJ.PAN;XJ.PZT;XJ.SBL;XJ.TIG;XJ.TKI;XJ.ZUP
8A.WEWE,11,8A.BAHE;8A.GAMM;8A.HAO;8A.KANO;8A.NEPA;8A.OKAM;8A.OMUT;8A.OTJO;AF.UPI;AF.WIN;NR.NE215
XJ.APA,11,IU.MA2;XJ.BNG;XJ.ESS;XJ.KGB;XJ.OSO;XJ.PAN;XJ.PZT;XJ.SBL;XJ.TIG;XJ.TKI;XJ.ZUP
8Q.P19,11,8Q.P03;8Q.P09;8Q.P11;8Q.P12;8Q.P13;8Q.P15;8Q.P17;8Q.P18;8Q.P20;8Q.P21;8Q.P22
8Q.P22,11,8Q.P03;8Q.P09;8Q.P11;8Q.P12;8Q.P13;8Q.P15;8Q.P17;8Q.P18;8Q.P19;8Q.P20;8Q.P21
XB.CM11,11,IU.MSKU;XB.CM01;XB.CM02;XB.CM03;XB.CM06;XB.CM16;XB.CM17;XB.CM24;XB.CM27;XB.CM29;XB.CM31
Z9.E07,11,KY.LLKY;N4.X48A;NM.WADM;XO.LE17;XO.MG05;XO.SOKY;XY.PACW;Z9.E31;Z9.W14;Z9.W315;ZL.N07A
JP.JMM,11,JP.JEW;JP.JGF;JP.JHJ2;JP.JHS;JP.JMN;JP.JNU;JP.JSD;JP.JTM;JP.JTU;JP.JWT;KS.SH2B
X4.GS18,11,IC.XAN;X4.A01;X4.D26;X4.GS01;X4.GS09;X4.GS12;Z8.310;Z8.320;Z8.356;Z8.365;Z8.373
8Q.P11,11,8Q.P03;8Q.P09;8Q.P12;8Q.P13;8Q.P15;8Q.P17;8Q.P18;8Q.P19;8Q.P20;8Q.P21;8Q.P22
8Q.P13,11,8Q.P03;8Q.P09;8Q.P11;8Q.P12;8Q.P15;8Q.P17;8Q.P18;8Q.P19;8Q.P20;8Q.P21;8Q.P22
XP.PLTP,11,GT.CPUP;TO.PE03;TO.PH20;XP.LZAE;YS.PARW;ZD.FS07;ZG.CB14;ZG.CB34;ZG.CP07;ZG.CP12;ZG.CP13
8Q.P20,11,8Q.P03;8Q.P09;8Q.P11;8Q.P12;8Q.P13;8Q.P15;8Q.P17;8Q.P18;8Q.P19;8Q.P21;8Q.P22
X4.H19,11,IC.LSA;X4.A01;X4.D08;X4.D11;X4.D26;X4.H01;X4.H05;X4.H13;X4.H22;ZV.GUNA;ZV.MAQU
ZU.NZ24,11,NZ.URZ;Y3.CROE;ZU.NZ01;ZU.NZ04;ZU.NZ05;ZU.NZ12;ZU.NZ18;ZU.NZ21;ZU.NZ22;ZU.NZ26;ZU.NZ29
X8.COSY,10,C8.FORQ;C8.PCAQ;LD.FRNY;N4.E62A;N4.G65A;N4.R61A;PE.PAKC;PE.PSSK;PO.LATQ;YM.MHCG
XA.SA26,10,XA.SA01;XA.SA03;XA.SA04;XA.SA10;XA.SA18;XA.SA20;XA.SA35;XA.SA38;XA.SA76;XA.SA81
9R.OBS16,10,CM.PRV;CW.CAIB;CW.CAMR;CW.CCCC;CW.CHIV;CW.SOR;CY.CBCY;NU.BILN;NU.CSGN;NU.SIUN
GS.KS24,10,GS.DEC08;KY.LLKY;NM.WADM;TX.BRDY;TX.DKNS;US.AMTX;US.DGMT;US.ECSD;US.MVCO;WY.YHR
IU.YSS,10,5G.D10;ID.ERM;JP.ASAJ;YP.NE5D;YP.NE6F;YP.NE7D;YP.NE8I;YP.NE9B;YP.NEAB;YP.NEAD
XM.ASB11,10,C1.LL02;C1.LL05;C1.LR04;GT.PLCA;XM.ASB04;XM.ASB08;XM.ASB13;XM.ASB19;XM.ASB20;XM.ASB22
ZL.N07A,10,KY.LLKY;NM.SCMO;US.AMTX;US.ECSD;XI.SM37;XO.MG05;Z9.E07;Z9.E31;Z9.W14;Z9.W315
XP.S29,10,CI.PDM;IE.BCYI;IE.IRCI;IM.TX02;US.AMTX;US.MVCO;XP.N16;XP.N20;XR.SC25;YH.L01
XA.SA20,10,XA.SA01;XA.SA03;XA.SA04;XA.SA10;XA.SA18;XA.SA26;XA.SA35;XA.SA38;XA.SA76;XA.SA81
XJ.ESS,10,IU.MA2;XJ.APA;XJ.BNG;XJ.KGB;XJ.OSO;XJ.PAN;XJ.SBL;XJ.TIG;XJ.TKI;XJ.ZUP
RU.ANN,10,GE.TIRR;GF.TEPE;HL.RDO;KO.DKL;KO.ELL;KO.KARS;MP.DHK1;RU.ERBR;RU.VSLR;XA.GP03
CU.BBGH,10,CU.ANWB;CU.GRGR;PR.IMPR;PR.SNC1;TR.DLPL;TR.TOSP;VE.BAUV;WI.SLBI;YI.D35;ZZ.XSJN
1P.LVAN,10,1P.CURI;1P.EIDA;1P.GUMN;1P.MAMA;1P.OHRS;1P.PMOR;C1.LL02;C1.LL05;C1.MG02;II.EFI
BL.PMNB,10,BL.RCLB;ON.ABR01;ON.ALF01;ON.ANA01;ON.GDU01;ON.NAN01;ON.PET01;ON.RIB01;ON.TIJ01;ON.VAS01
XW.MOKA,10,XW.ADEN;XW.DAMT;XW.GHDI;XW.MAWI;XW.MUKA;XW.SAUM;XW.SIMA;XW.TAMU;ZF.HYNE;ZF.LYDE
TF.KHO,10,II.AAK;II.NIL;KR.BTK;KR.SFK;KR.TRKS;QZ.CHM;QZ.TDK;QZ.ZHTS;TJ.CHGR;TJ.MURGB
4Q.UT19,10,C1.AF02;C1.CO05;XM.ANB03;XM.ANB07;XM.ANB09;XM.ANB10;XM.ANB16;XM.ANB17;XM.ANB19;XM.ANB20
XG.SQUAN,10,1A.NE00;1A.NE26;1A.NE48;5G.D10;5G.D16;IC.HIA;IC.SSE;IU.INCN;Z8.310;Z8.320
1D.ATOL,10,1D.BREN;1D.ELSW;1D.FOWL;1D.KIBB;1D.PIG3;1D.WELC;AI.ESPZ;YT.HOWD;YT.MECK;YT.THUR
X8.QMM5,10,LD.FRNY;PO.LATQ;PO.MATQ;X8.QM38;X8.QM58;X8.QM76;X8.QM90;XI.SC10;Y6.HOLY;Y6.MALY
JP.JMJ2,10,CB.NJ2;IC.SSE;IU.TATO;JP.JMZ;JP.JNU;JP.JOW;JP.JSU;RM.SZP;TW.KMNB;TW.VDOS
1A.NE00,10,1A.NE26;1A.NE48;5G.D10;5G.D16;IC.HIA;IC.SSE;IU.INCN;JP.JNU;XG.SQUAN;Z8.310
XW.SIMA,10,II.RAYN;II.UOSS;XW.ADEN;XW.DAMT;XW.GHDI;XW.MAWI;XW.MOKA;XW.MUKA;XW.SAUM;XW.TAMU
IN.PBA,10,MM.NGU;MM.SIM;MM.YGN;TM.CHBT;TM.NAYO;TM.PHRA;TM.PRAC;TM.SKLT;TM.SRDT;TM.SRIT
XB.CM03,10,XB.CM01;XB.CM02;XB.CM06;XB.CM11;XB.CM16;XB.CM17;XB.CM24;XB.CM27;XB.CM29;XB.CM31
XK.B17CI,10,AF.BLWY;AF.KTWE;AF.MONG;AF.TEZI;AF.UPI;AF.WIN;IU.LSZ;XK.B04KH;XK.B07DX;XK.Z04NN
TR.DLPL,10,CU.ANWB;CU.BBGH;CU.GRGR;LO.LOBA2;TR.TOSP;VE.BAUV;WI.SLBI;ZC.HMDR;ZC.SODR;ZZ.XSJN
1D.BREN,10,1D.ATOL;1D.ELSW;1D.FOWL;1D.KIBB;1D.PIG3;1D.WELC;AI.BELA;AI.ESPZ;YT.HOWD;YT.MECK
TJ.MURGB,10,II.AAK;II.NIL;KR.BTK;KR.SFK;KR.TRKS;QZ.CHM;QZ.TDK;QZ.ZHTS;TF.KHO;TJ.CHGR
3C.NW09,10,3C.GS02;3C.SL09;CM.LCBC;CM.PRV;CM.RUS;CM.SJC;CM.TUM;EC.MILO;EC.PUYO;EC.TULM
BL.RCLB,10,BL.PMNB;GT.CPUP;ON.ABR01;ON.ALF01;ON.NAN01;ON.PET01;ON.RIB01;ON.TER01;ON.TIJ01;ON.VAS01
X5.MARN,10,1E.CNF;DK.KULLO;X5.CHIN;X5.CTSN;X5.JENN;X5.KIMN;X5.MNGN;X5.NOTN;X5.PNGN;X5.SHMN
XB.CM31,10,XB.CM01;XB.CM02;XB.CM03;XB.CM06;XB.CM11;XB.CM16;XB.CM17;XB.CM24;XB.CM27;XB.CM29
XB.CM24,10,XB.CM01;XB.CM02;XB.CM03;XB.CM06;XB.CM11;XB.CM16;XB.CM17;XB.CM27;XB.CM29;XB.CM31
ZZ.FWU17,10,7P.PC53;NM.WADM;O2.SC12;TX.435B;TX.BRDY;TX.DKNS;US.AMTX;US.ECSD;US.MVCO;Z7.LA01
S1.AUMOU,10,M8.RUGBY;OZ.AWOON;S1.AUAYR;S1.AUCSH;S1.AUDCS;S1.AUMUL;S1.AUPHS;S1.AUTKS;Y2.KKVN5;YW.MSWL3
YU.SL02,10,CM.RUS;CM.SJC;CM.TUM;EC.TULM;VE.BAUV;YU.GJ03;YU.MD04;YU.NL02;YU.NL10;YU.SL09
XB.CM06,10,XB.CM01;XB.CM02;XB.CM03;XB.CM11;XB.CM16;XB.CM17;XB.CM24;XB.CM27;XB.CM29;XB.CM31
JM.NMIA0,10,CM.PRV;CM.SJC;CU.GRTK;CW.CCCC;CW.SOR;CY.CBCY;N4.060A;NU.ESPN;ZC.SODR;ZZ.XSJN
PR.IMPR,10,CU.ANWB;CU.BBGH;CU.GRGR;CU.GRTK;CW.CCCC;CW.CHIV;PR.SNC1;WI.SLBI;ZC.HMDR;ZC.SODR
Z7.LA01,10,7P.PC53;GS.DEC08;KY.LLKY;NM.WADM;O2.SC12;TX.435B;TX.BRDY;TX.DKNS;US.AMTX;ZZ.FWU17
ZM.GM07,10,ZM.GM03;ZM.GM04;ZM.GM06;ZM.N156;ZM.N173;ZM.N190;ZM.N215;ZM.P061;ZM.P080;ZM.P124
XJ.SBL,10,IU.MA2;XJ.APA;XJ.BNG;XJ.ESS;XJ.KGB;XJ.OSO;XJ.PAN;XJ.TIG;XJ.TKI;XJ.ZUP
X5.PNGN,10,9D.KNS;DK.KULLO;X5.CHIN;X5.CTSN;X5.JENN;X5.KIMN;X5.MARN;X5.MNGN;X5.NOTN;X5.SHMN
KZ.AB06,10,II.ARTI;KZ.CHKZ6;KZ.OTUK;QZ.AKST;QZ.ALGA;QZ.BRZS;QZ.CHM;QZ.FDRN;QZ.INDER;YL.WKZ15
XJ.KGB,10,IU.MA2;XJ.APA;XJ.BNG;XJ.ESS;XJ.PAN;XJ.PZT;XJ.SBL;XJ.TIG;XJ.TKI;XJ.ZUP
CB.GZH,10,CB.GYA;CB.NJ2;CB.WHN;HK.HKPS;IC.QIZ;IU.TATO;RM.SLV;RM.SZP;TW.KMNB;TW.VDOS
WI.SLBI,10,CU.ANWB;CU.BBGH;CU.GRGR;PR.IMPR;PR.SNC1;TR.DLPL;TR.TOSP;VE.BAUV;ZC.HMDR;ZZ.XSJN
ON.ALF01,10,BL.PMNB;BL.RCLB;ON.ABR01;ON.ANA01;ON.GDU01;ON.NAN01;ON.PET01;ON.RIB01;ON.TIJ01;ON.VAS01
XB.CM29,10,XB.CM01;XB.CM02;XB.CM03;XB.CM06;XB.CM11;XB.CM16;XB.CM17;XB.CM24;XB.CM27;XB.CM31
X2.CRAT,10,CI.CIA;CI.PDM;EP.CHC4;IE.BCYI;IM.TX02;MX.HPIG;NN.RUB;TO.CC08;US.AMTX;US.MVCO
XK.UT65,10,CI.CIA;CI.PDM;IE.BCYI;MB.HRY;NR.NE80;NR.NE81;US.AMTX;US.HAWA;XC.OR088;XE.SNP22
XB.CM27,10,XB.CM01;XB.CM02;XB.CM03;XB.CM06;XB.CM11;XB.CM16;XB.CM17;XB.CM24;XB.CM29;XB.CM31
II.LVZ,10,GE.PUL;IU.KEV;Y1.N7001;Y1.N7027;YF.N6017;YF.N6029;YV.NSS;ZR.N1306;ZR.N1312;ZR.N1317
TO.CC08,10,7D.G36D;BC.PIX;BC.SPX;BC.TJX;CI.CIA;CI.PDM;NC.G005;NN.RUB;PB.B934;X2.CRAT
X4.GS09,10,IC.XAN;X4.D26;X4.GS01;X4.GS12;X4.GS18;Z8.310;Z8.320;Z8.356;Z8.365;Z8.373
QZ.INDER,10,A0.LUS3;AB.HASN;AB.PRLH;GO.GHRG;II.ARTI;KZ.AB06;QZ.AKST;QZ.ALGA;QZ.FDRN;XA.EP15
X4.H22,10,X4.A01;X4.D08;X4.D11;X4.D26;X4.H01;X4.H05;X4.H13;X4.H19;ZV.GUNA;ZV.MAQU
XV.NW300,10,II.AAK;KZ.MAKZ;KZ.OTUK;QZ.BRZS;QZ.SEM;QZ.TDK;QZ.USHN;QZ.ZSN;XV.NW140;XV.SW060
ZP.MKUS,10,AF.KTWE;AF.MONG;AF.TEZI;IU.LSZ;YH.IFAK;YH.WALE;ZP.ISOK;ZP.KASM;ZP.KISH;ZP.MPIK
1A.NE48,10,1A.NE00;1A.NE26;5G.D10;5G.D16;IC.HIA;IU.INCN;IU.ULN;XG.SQUAN;Z8.310;Z8.320
ZU.NZ01,10,Y3.CROE;ZU.NZ04;ZU.NZ05;ZU.NZ12;ZU.NZ18;ZU.NZ21;ZU.NZ22;ZU.NZ24;ZU.NZ26;ZU.NZ29
XK.B07DX,10,AF.BLWY;AF.KTWE;AF.MONG;AF.PKA;AF.TEZI;AF.UPI;AF.WIN;IU.LSZ;XK.B04KH;XK.B17CI
YB.AT39,10,HL.ARG;KO.ELL;KO.KARS;YB.AT06;YB.AT19;YB.AT44;YB.AT49;YB.AT56;YB.AT63;YH.KO07
XD.C02,10,2D.OBS06;2D.OBS08;2D.OBS13;2D.OBS16;2D.OBS21;CI.CIA;CI.PDM;NN.RUB;PB.B934;US.MVCO
CW.GNEO,10,CM.PRV;CW.CAMR;CW.CHIV;CW.SOR;CY.CBCY;LO.LOBA2;YU.GJ03;YU.MD04;ZC.HMDR;ZC.SODR
TM.SKLT,10,IN.PBA;MY.KOM;MY.KUM;RM.DLV;TM.CHBT;TM.NAYO;TM.PRAC;TM.SRDT;TM.SRIT;TM.UBPT
YD.OBS14,10,CH.FUORN;G.SSB;GE.APE;GE.PSZ;MN.BNI;MN.CLTB;MN.VSL;MN.VTS;MN.WDD;YI.BOB
ZP.KAMZ,10,AF.KTWE;AF.MONG;AF.PWET;AF.TEZI;IU.LSZ;ZP.ISOK;ZP.KASM;ZP.KISH;ZP.MPIK;ZP.MWEN
YL.F01,9,IU.RAO;YL.A14W;YL.B14W;YL.N01W;YL.S02W;Z1.LBSA;Z1.MOAL;Z1.VABL;Z1.VAVP
IO.EVN,9,IC.LSA;IN.SHL;K5.MONG;MM.SIM;XR.BA07;XR.MS02;XR.MS05;XR.MS09;Z6.BRDL
7D.J36C,9,7D.J31C;7D.J48C;7D.J53C;IE.BCYI;NC.G005;NN.RUB;PB.B934;TD.TD009;US.HAWA
X5.MNGN,9,9D.KNS;X5.CHIN;X5.CTSN;X5.JENN;X5.KIMN;X5.MARN;X5.NOTN;X5.PNGN;X5.SHMN
XA.SA01,9,XA.SA03;XA.SA04;XA.SA10;XA.SA18;XA.SA20;XA.SA26;XA.SA29;XA.SA38;XA.SA81
XA.SA64,9,XA.SA18;XA.SA29;XA.SA38;XA.SA60;XA.SA71;XA.SA73;XA.SA76;XA.SA80;XA.SA81
JP.ASAJ,9,5G.D10;IU.YSS;YP.NE5D;YP.NE6F;YP.NE7D;YP.NE8I;YP.NE9B;YP.NEAB;YP.NEAD
IP.MTOR,9,IU.MACI;MN.RTC;PM.PFVI;PM.PMOZ;XB.PM04;XB.PM18;XB.PM25;XB.PM35;XB.PS16
YS.OLC5,9,TO.PE03;ZD.FM09;ZD.FS07;ZG.CB14;ZG.CB34;ZG.CP07;ZG.CP12;ZG.CP13;ZG.CP19
2D.OBS16,9,2D.OBS06;2D.OBS08;2D.OBS13;2D.OBS21;CI.CIA;CI.PDM;NN.RUB;PB.B934;XD.C02
GE.PUL,9,GE.MHV;GE.TRTE;II.LVZ;IU.KIEV;YF.N6017;YF.N6029;YV.NSS;YY.SW03;YY.SW05
XR.SC25,9,4P.MBB03;CI.PDM;GS.OK006;IM.TX02;US.AMTX;US.MVCO;XP.N16;XP.N20;XP.S29
ZE.HOLG,9,AK.FALS;AK.FYU;AK.GLB;AK.PAX;AK.PPLA;AT.MID;AT.SVW2;NY.MAYO;ZE.BULG
YS.MTNG,9,II.KAPI;S1.AUDHS;S1.AUKAT;YS.BULE;YS.HADA;YS.ONIX;YS.SARA;YS.SAVU;YS.TL06
YL.S02W,9,IU.RAO;YL.A14W;YL.B14W;YL.F01;YL.N01W;Z1.LBSA;Z1.MOAL;Z1.VABL;Z1.VAVP
HK.HKPS,9,CB.GYA;CB.GZH;CB.WHN;IC.QIZ;IU.TATO;RM.SLV;RM.SZP;TW.KMNB;TW.VDOS
6H.MASS,9,6H.FUNH;AF.BLWY;AF.KTWE;AF.TEZI;IU.LSZ;XV.MMBE;XV.NAPU;XV.SENA;XV.TETE
XH.ESP03,9,GT.CPUP;IU.TRQA;X6.NS10;XY.U54B;XY.U72B;ZL.BARR;ZL.CHUM;ZL.COLO;ZL.NOQE
XJ.OSO,9,IU.BILL;IU.MA2;XJ.APA;XJ.BNG;XJ.ESS;XJ.SBL;XJ.TIG;XJ.TKI;XJ.ZUP
YS.ONIX,9,II.KAPI;S1.AUDHS;S1.AUKAT;YS.BULE;YS.HADA;YS.MTNG;YS.SARA;YS.SAVU;YS.TL06
YH.MOHO,9,YH.IFAK;YH.MTWA;YH.WALE;ZP.ISOK;ZP.KASM;ZP.LAEL;ZP.MGOR;ZP.MPIK;ZP.PNDA
1P.MAMA,9,1P.CURI;1P.EIDA;1P.GUMN;1P.LVAN;1P.OHRS;1P.PMOR;C1.LL02;C1.MG02;II.EFI
7D.J20B,9,7D.G13B;7D.G26B;IE.BCYI;NN.RUB;PB.B934;US.HAWA;X9.BB240;X9.BB420;XT.D58
ON.PET01,9,BL.PMNB;BL.RCLB;GT.CPUP;ON.ALF01;ON.NAN01;ON.RIB01;ON.TER01;ON.TIJ01;ON.VAS01
XA.SA60,9,XA.SA18;XA.SA29;XA.SA38;XA.SA64;XA.SA71;XA.SA73;XA.SA76;XA.SA80;XA.SA81
1P.GUMN,9,1P.CURI;1P.EIDA;1P.LVAN;1P.MAMA;1P.OHRS;1P.PMOR;C1.LL02;C1.LL05;C1.MG02
XA.SA03,9,XA.SA01;XA.SA04;XA.SA10;XA.SA18;XA.SA20;XA.SA26;XA.SA35;XA.SA38;XA.SA81
XA.EP15,9,AB.HASN;AB.PRLH;MP.AMR2;MP.DHK1;MP.KAR2;MP.SLY1;QZ.INDER;XA.AX08;YL.WKZ15
2D.OBS06,9,2D.OBS08;2D.OBS13;2D.OBS16;2D.OBS21;CI.CIA;CI.PDM;NN.RUB;PB.B934;XD.C02
YT.MCRG,9,7U.TJTJ;YT.HOWD;YT.LPLY;YT.MRTP;YT.MTAK;YT.SILY;YT.THUR;YT.UPTW;YT.WAIS
XA.SA29,9,XA.SA01;XA.SA18;XA.SA38;XA.SA60;XA.SA64;XA.SA71;XA.SA73;XA.SA76;XA.SA81
ON.RIB01,9,BL.PMNB;BL.RCLB;ON.ABR01;ON.ALF01;ON.ANA01;ON.GDU01;ON.NAN01;ON.PET01;ON.VAS01
3C.GS02,9,3C.NW09;3C.SL09;CM.LCBC;CM.RUS;CM.SJC;CM.TUM;EC.MILO;EC.PUYO;EC.TULM
YG.INC37,9,CM.PRV;CW.CAMR;CW.SOR;CY.CBCY;GI.HUBA;NU.BILN;NU.CSGN;NU.SIUN;SV.RBDL
3C.SL09,9,3C.GS02;3C.NW09;CM.LCBC;CM.RUS;CM.SJC;CM.TUM;EC.MILO;EC.PUYO;EC.TULM
YT.THRO,9,1D.KIBB;AI.BELA;GE.SNAA;YT.AGO3;YT.DUFK;YT.EAGL;YT.PECA;YT.RMBO;YT.STEW
MP.KUT1,9,A0.LUS3;AB.HASN;AB.PRLH;GO.GHRG;II.RAYN;MP.ANB2;MP.DHK1;MP.KAR2;MP.SAM2
ZJ.BEBP,9,G.CCD;XH.DR02;XH.DR15;XH.DR16;XH.RS02;XH.RS06;YT.DEVL;ZJ.DONT;ZJ.RKST
BL.PTMB,9,BL.AGVB;BL.IBIB;BL.NAVB;BL.PPDB;BL.TRIB;XE.CRUZ;XE.ROSL;XE.SALI;XE.UYUN
Z1.Z34S,9,AF.MOPA;AF.RUDU;BX.KGCAE;BX.LKGWB;BX.PHPEN;BX.XAUDM;Z1.Z01J;Z1.Z16N;Z1.Z21G
GO.GHRG,9,A0.LUS3;AB.HASN;AB.PRLH;MP.ANB2;MP.DHK1;MP.KAR2;MP.KUT1;QZ.INDER;YB.SM05
IU.KEV,9,II.LVZ;IU.KBS;PL.HSPB;Y1.N7001;Y1.N7027;YF.N6002;YF.N6017;YF.N6029;YV.NSS
ON.TIJ01,9,BL.PMNB;BL.RCLB;GT.CPUP;ON.ALF01;ON.PET01;ON.TER01;ON.VAS01;XM.ANB17;XM.ANB18
7D.G26B,9,7D.G13B;7D.J20B;IE.BCYI;NN.RUB;PB.B934;US.HAWA;X9.BB240;X9.BB420;XT.D58
XW.KSA,9,II.AAK;II.NIL;KN.ULHL;KZ.MAKZ;XW.AKSU;XW.ATUS;XW.BCHU;XW.KHA;XW.PDG
TJ.GEZN,9,II.AAK;II.NIL;KN.ULHL;KR.BTK;KR.SFK;KR.TRKS;KZ.OTUK;TJ.CHGR;TJ.SHAA
XW.KHA,9,II.AAK;KN.ULHL;KZ.CHKZ6;KZ.MAKZ;XW.AKSU;XW.ATUS;XW.BCHU;XW.KSA;XW.PDG
AB.PRLH,9,A0.LUS3;AB.HASN;GO.GHRG;MP.DHK1;MP.KAR2;MP.KUT1;MP.SLY1;QZ.INDER;XA.EP15
2D.OBS13,9,2D.OBS06;2D.OBS08;2D.OBS16;2D.OBS21;CI.CIA;CI.PDM;NN.RUB;PB.B934;XD.C02
ZQ.AAM2,9,AF.BLWY;AF.CVNA;AF.GRM;AF.HARE;AF.HVD;AF.MOPA;AF.PKA;AF.POGA;AF.UPI
YS.TL06,9,II.KAPI;S1.AUDHS;S1.AUKAT;YS.BULE;YS.HADA;YS.MTNG;YS.ONIX;YS.SARA;YS.SAVU
XE.SNPG9,9,CI.CIA;CI.PDM;IE.BCYI;IE.IRCI;MB.HRY;US.HAWA;US.MVCO;XC.OR061;XC.OR088
JP.JTM,9,1U.SHRD;JP.JEW;JP.JGF;JP.JHJ2;JP.JHS;JP.JMM;JP.JMN;JP.JSD;JP.JWT
1A.NE26,9,1A.NE00;1A.NE48;5G.D10;5G.D16;IC.HIA;IU.INCN;XG.SQUAN;Z8.310;Z8.320
YL.A14W,9,IU.RAO;YL.B14W;YL.F01;YL.N01W;YL.S02W;Z1.LBSA;Z1.MOAL;Z1.VABL;Z1.VAVP
YY.SW05,9,GE.HLG;GE.PSZ;GE.PUL;GE.RGN;GE.RUE;NL.HGN;YG.CBP2J;YG.CBP4F;YY.SW03
GI.PETF,9,CM.PRV;CW.SOR;GI.AVPA;NU.BILN;NU.CSGN;NU.ESPN;NU.SIUN;TC.TRT1;ZB.B01
C1.MG02,9,1P.CURI;1P.EIDA;1P.GUMN;1P.LVAN;1P.MAMA;1P.OHRS;1P.PMOR;C1.LL02;II.EFI
Y6.HOLY,9,LD.FRNY;PO.LATQ;PO.MATQ;X8.QM38;X8.QM58;X8.QM76;X8.QM90;X8.QMM5;Y6.MALY
2D.OBS08,9,2D.OBS06;2D.OBS13;2D.OBS16;2D.OBS21;CI.CIA;CI.PDM;NN.RUB;PB.B934;XD.C02
CB.WHN,9,1G.WOP01;CB.GYA;CB.GZH;CB.NJ2;HK.HKPS;IC.SSE;IC.XAN;IU.TATO;TW.KMNB
ZX.215,9,5G.D10;IC.HIA;IC.SSE;IC.XAN;IU.INCN;XG.ELSH;XG.MJPU;XG.XZHOU;ZX.230
S1.AUKAR,9,M8.AI45;M8.AM37;M8.AQ41;M8.AU41;M8.AY41;M8.MUKOZ;M8.TEFOZ;S1.AUBRM;S1.AUCAR
XS.N020,9,GE.TIRR;HL.ARG;HT.AGG;MN.DIVS;MN.PDG;MN.VSL;MN.VTS;MN.WDD;XS.N039
4A.MN50,9,GS.DEC08;II.FFC;OH.CROH;PE.PBL2;PO.MATQ;US.DGMT;US.ECSD;US.GLMI;WU.TOBO
YB.SM05,9,AB.HASN;GE.TIRR;GO.GHRG;HL.ARG;HL.RDO;KO.DKL;KO.ELL;MP.ANB2;MP.DHK1
2D.OBS21,9,2D.OBS06;2D.OBS08;2D.OBS13;2D.OBS16;CI.CIA;CI.PDM;NN.RUB;PB.B934;XD.C02
ZZ.XSJN,9,CU.ANWB;CU.BBGH;CU.GRGR;CU.GRTK;JM.NMIA0;TR.DLPL;TR.TOSP;WI.SLBI;ZC.SODR
XV.VATO,9,G.FOMA;MR.MRIV;XV.ANLA;XV.ANTS;XV.DGOS;XV.LAHA;XV.MAHA;XV.MAJA;XV.MMBE
BC.SPX,9,BC.PIX;BC.TJX;CI.CIA;CI.PDM;MX.HPIG;NC.G005;NN.RUB;TO.CC08;US.MVCO
YT.LPLY,9,7U.TJTJ;YT.HOWD;YT.MCRG;YT.MRTP;YT.MTAK;YT.SILY;YT.THUR;YT.UPTW;YT.WAIS
3K.NIKI,9,GF.TEPE;HL.ARG;HL.RDO;HT.AGG;KO.DKL;KO.ELL;KO.KARS;MP.DHK1;MP.KAR2
OZ.AWOON,8,S1.AUAYR;S1.AUCSH;S1.AUDCS;S1.AUMOU;S1.AUPHS;S1.AUTKS;Y2.KKVN5;YW.MSWL3
XP.N076,8,XP.DIHI;XP.E006;XP.MINN;XP.N028;XP.N044;XP.N060;XP.N100;XP.N116
X5.KIMN,8,9D.KNS;X5.CHIN;X5.CTSN;X5.MARN;X5.MNGN;X5.NOTN;X5.PNGN;X5.SHMN
XA.SA35,8,XA.SA03;XA.SA10;XA.SA18;XA.SA20;XA.SA26;XA.SA38;XA.SA76;XA.SA81
Z1.VABL,8,YL.A14W;YL.B14W;YL.F01;YL.N01W;YL.S02W;Z1.LBSA;Z1.MOAL;Z1.VAVP
7D.J53C,8,7D.J31C;7D.J36C;7D.J48C;NC.G005;NN.RUB;PB.B934;TD.TD009;US.HAWA
G.IVI,8,9D.KNS;DK.ANGG;DK.DY2G;DK.ICESG;DK.NRS;DK.SOEG;GG.SE1;PO.NANL
TJ.SHAA,8,II.AAK;II.NIL;KN.ULHL;KR.BTK;KR.SFK;KR.TRKS;TJ.CHGR;TJ.GEZN
Z1.VAVP,8,YL.A14W;YL.B14W;YL.F01;YL.N01W;YL.S02W;Z1.LBSA;Z1.MOAL;Z1.VABL
