rank,network,station,lat,lon,days
356,AK,TNA,65.5598,-167.9267,6591
357,5A,ARAWA,-6.22292,155.563797,448
358,YQ,MATA,-8.9593,33.968899,791
359,YL,BEKI,41.314999,34.263,671
360,MH,P0017,-9.9899,-135.034383,175
361,OZ,TOT,-37.82313,146.40738,710
362,XW,SAUM,16.141451,49.29332,189
363,ZI,2299,44.351398,-107.611,15
364,YT,ST14,-77.8378,-134.0802,719
365,XS,S009,37.548,22.212,489
366,Z6,13,29.351299,155.244003,367
367,BL,POPB,-22.456499,-52.8368,783
368,XT,KOS,5.3238,163.008698,465
369,IC,HIA,49.270115,119.741363,11556
370,XU,LUMA,-45.722801,168.449402,33
371,YS,PL14,18.7976,-153.992294,370
372,S1,AUKAR,-20.752,116.8178,2366
373,PB,GUAX,28.88406,-118.28968,1925
374,AF,GRM,-33.313,26.507999,2066
375,XI,SC14,47.723,-84.814003,835
376,JP,JSU,31.509331,130.452667,4437
377,AK,FYU,66.5657,-145.2342,5577
378,AF,TEZI,-15.747,26.016001,2006
379,GE,GHAR,32.122398,13.0885,301
380,CM,RUS,5.8925,-73.083167,4835
381,5G,D10,42.9305,130.3004,1812
382,GB,GDLE,54.42183,-0.81567,3121
383,ZA,B20,9.8252,-142.660507,391
384,YF,PB60,53.950298,22.0117,203
385,YS,SAVU,-10.5476,121.8613,723
386,IM,CY602,34.34664,34.51679,2320
387,NR,NE79,23.11937,-109.756111,1604
388,M8,AI45,-29.9886,114.9982,772
389,X3,OBS01,36.117802,-34.2104,16
390,YH,LOBS4,-39.120098,178.981506,320
391,S1,AUMUL,-28.5585,153.4949,465
392,MY,KOM,1.7922,103.846703,6682
393,XM,ANB07,-23.7691,-63.6877,650
394,N4,060A,27.0361,-80.3618,4374
395,PM,PMOZ,32.823002,-17.19717,6052
396,G,NOC,-22.284,166.432,588
397,XO,EP16,59.1126,-156.8567,383
398,M8,TEFOZ,-22.8162,122.5786,77
399,GE,PMG,-9.4092,147.1539,3153
400,7B,NN01,-31.70961,-154.60328,370
401,8B,416,34.9002,111.4011,433
402,MH,P0006,-14.433683,-179.48985,618
403,MH,P0020,-20.2983,-130.667133,109
404,ZM,D21,30.187901,-41.987301,208
405,PQ,NBC8,56.57308,-122.40441,3741
406,XB,NIUE,-18.979219,-169.876144,654
407,BL,GNSA,-15.2644,-49.085499,57
408,7U,TJTJ,-77.29887,-100.476063,727
409,1D,BREN,-72.67498,-63.020939,364
410,N4,R50A,38.2816,-84.3274,4629
411,ZU,NMV26,35.783683,-103.857885,41
412,4P,NEK29,42.886919,-100.444528,23
413,7B,SD09,-30.4324,139.421494,67
414,PQ,ULUN,70.7363,-117.762,1577
415,7C,MM40,66.0246,-124.6709,585
416,3R,A06,16.596106,-94.705902,21
417,Y2,GUGE,31.4769,79.664101,1419
418,ZU,TXK37,26.160578,-97.364209,35
419,II,LVZ,67.8979,34.6514,11745
420,MH,P0013,-11.499367,-144.00305,94
